车辆型号,车型名称,车系,排放,排量,说明
LQG5020XXYSLNDF,双,N111P,国四,1,
LQG5020XXYSLNF,单,N111P,国四,1,
LQG5020XXYBQY,单,N111P,国五,1.2,之光单排单层货柜
LQG5020XXYBQY1,单,N111P,国五,1.2,半吨
LQG5020XXYBDQY,双,N111P,国五,1.2,
LQG5020XXYBDQY1,双,N111P,国五,1.2,半吨
LQG5020CCYBQY,仓,N111P,国五,1.2,
LQG5020XXYBQY2,单,N111P,国五,1.2,加长款
LQG5020XXYBQY3,单,N111P,国五,1.2,加长款、半吨
LQG5020XXYBDQY2,双,N111P,国五,1.2,加长款
LQG5020XXYBDQY3,双,N111P,国五,1.2,加长款、半吨
LQG5020CCYSBQY,仓,N111PS,国五,1.2,
LQG5027CSNF,仓,N111P,国四,1,
LQG5029CCYBF,仓,N300P,国四,1.2,
WLQ5029CCYBF,仓,N300P,国四,1.2,
LQG5029CCYPF,仓,N300P,国四,1.5,
LQG5029CCYQPF,仓,N300P,国四,1.5,
WLQ5029CCYPF,仓,N300P,国四,1.5,
WLQ5029CCYBCY,仓,N300P,国五,1.2,
WLQ5029CCYPY,仓,N300P,国五,1.5,
LQG5027XXYNF,单,N111P,国四,1,
LQG5029XXYBF,单,N300P,国四,1.2,
LQG5029XXYP,单,N300P,国四,1.5,
LQG5029XXYPF,单,N300P,国四,1.5,
LQG5029XXYBCY,单,N300P,国五,1.2,
LQG5029XXYPY,单,N300P,国五,1.5,
LZW1029BFA,货车,N300P,国四,1.2,
LZW1029BCYA,货车,N300P,国五,1.2,
LQG5029ZLJPF,环卫,N300P,国四,1.5,
LQG5027ZXXNF,环卫,N111P,国四,1,
LQG5029XTYPF,环卫,N300P,国四,1.5,
LQG5029ZXXBF,环卫,N300P,国四,1.2,
LQG5029CTYPF,环卫,N300P,国四,1.5,
LQG5029ZZZPF1,环卫,N300P,国四,1.5,
LQG5029GXSPF,环卫,N300P,国四,1.5,
LQG5027XLCNF,冷,N111P,国四,1,
LQG5029XLCPF,冷,N300P,国四,1.5,
WLQ5029XLCPF,冷,N300P,国四,1.5,
WLQ5029XLCBCY,冷,N300P,国五,1.2,温度：-10
LQG5029XLCBCY1,冷,N300P,国五,1.2,保鲜车：2-8度
LQG5029CPYBF,蓬式,N300P,国四,1.2,
LQG5027XSHNF,售货,N111P,国四,1,
LQG5029XSHBCY,售货,N300P,国五,1.2,
WLQ5029XXYBDCY,双,N300P,国五,1.2,
LQG5027XXYNDF,双,N111P,国四,1,
LQG5029XXYBDF,双,N300P,国四,1.2,
WLQ5029XXYBDF,双,N300P,国四,1.2,
WLQ5029XXYPDF,双,N300P,国四,1.5,
LQG5029XXYPDF,双,N300P,国四,1.5,
WLQ5029XXYPDY,双,N300P,国五,1.5,
WLQ5029XLCPY,冷,N300P,国五,1.5,
LQG5029XLCPY1,冷,N300P,国五,1.5,
WLQ5029CCYQPY,仓,N300P,国五,1.5,
WLQ5029CCYQBCY,仓,N300P,国五,1.2,
LZW1020BQY,货车,N300P,国五,1.2,
LZW1029BQYA,货车,N300P,国五,1.2,
LZW6430JF,客车,宏光,国四,,
LZW6431MF,客车,宏光,国四,,
LZW6432KF,客车,宏光,国四,,
LZW6431KAF,客车,宏光,国四,,
LQG5020XXYMF,客厢,宏光,国四,,
LZW5021XXYKAY,客厢,宏光,国五,,
LZW5021XXYJY,客厢,宏光,国五,1.5,
LZW6442JF,客车,宏光S,国四,,
LZW6442KAF,客车,宏光S,国四,,
LZW6443JVF,客车,宏光S,国四,,
LZW6443KAF,客车,宏光S,国四,,
LQG5020XXYNF,客厢,老之光,国四,1,
W880304000,环卫,其他,国四,,
LQG5026XJHBAF,救护车,荣光,国四,1.2,
LZW6407BAF,客车,荣光,国四,1.2,
LQG5026XXYBAF,客厢,荣光,国四,1.2,
LZW5028XXYBAF,客厢,荣光,国四,1.2,
LZW6407BCY,客车,荣光,国五,1.2,
LZW6446KAY,客车,荣光,国五,,
LZW5028XXYBCY,客厢,荣光,国五,1.2,
WLQ5029XSHBCY,售货,N300P,国五,1.2,
