区域,省份,级别,SGMW代码,经销商名称,对应内部代码
东北,天津,A,9120010,天津市鹏峰汽车贸易有限公司,C-00001234
东北,天津,A,9120015,天津市冀翔汽车销售服务有限公司,C-00001233
东北,天津,A,9120016,天津鹏驰五菱汽车销售有限公司,C-20000063
东北,辽宁,A,9210006,辽宁上菱汽车销售服务有限公司,C-00001106
东北,北京,A,9110023,北京中汽华世田汽车贸易有限公司,C-00000910
东北,辽宁,A,9210008,大连恒邦汽车销售有限公司,C-00000935
东北,黑龙江,A,9230002,哈尔滨华鑫联汽车销售有限公司,C-00001016
东北,辽宁,A,9210020,辽宁鹏达汽车贸易有限公司,C-00001103
东北,北京,A,9110009,北京聚百丰汽车销售服务有限公司,C-00000908
东北,黑龙江,A,9230001,黑龙江华宇汽车销售有限公司,C-00001044
东北,辽宁,A,9210010,大连市中天汽车贸易有限公司,C-00000936
东北,北京,A,9110008,北京中冀兴旺汽车销售有限公司,C-00000909
东北,黑龙江,A,9230007,佳木斯亚飞汽车(先锋)有限公司,C-00000255
东北,吉林,A,9220017,通化市宏彬汽车销售服务有限公司,C-00001235
东北,黑龙江,A,9230005,绥化市中远恒益汽车销售服务有限公司,C-00001219
东北,黑龙江,A,9230019,齐齐哈尔成辉汽车销售有限公司,C-00002929
东北,吉林,A,9220019,松原市智成汽车贸易有限公司,C-00001215
东北,吉林,A,9220021,四平市新达汽车销售有限公司,C-80001866
东北,黑龙江,A,9230016,七台河市鑫源汽车贸易有限公司,C-00001171
东北,吉林,A,9220018,延边光大汽车销售服务有限公司,C-00001283
东北,吉林,A,9220005,吉林省智成汽车销售服务有限公司,C-00000247
东北,吉林,A,9220009,白城市五环汽车销售维修有限公司,C-00002876
东北,黑龙江,A,9230013,牡丹江市大贸汽车贸易有限公司,C-00001153
东北,黑龙江,A,9230018,大庆市达迩汽车销售有限公司,C-00002925
东北,吉林,A,9220008,吉林省红日车业集团有限公司,C-00001059
东北,吉林,A,9220020,白山市顺通汽车销售服务有限公司,C-00002894
东北,辽宁,A,9210024,阜新宏光汽车销售服务有限公司,C-20000340
东北,辽宁,A,9210023,抚顺市荣发汽车经销有限公司,C-00000968
东北,北京,C,9110025,北京隆晟骏翔汽车销售服务有限公司,C-20000369
东北,吉林,A,9220015,吉林市瀚翔汽车销售服务有限公司,C-00002388
华北,河北,A,9130031,河北通菱汽车销售服务有限公司,C-00001025
华北,河北,A,9130033,河北通菱汽车销售服务有限公司石家庄分公司,C-00001035
华北,河北,A,9130034,河北通菱汽车销售服务有限公司邯郸分公司,C-80002025
华北,河北,A,9130035,河北通菱汽车销售服务有限公司衡水分公司,C-00001031
华北,河北,A,9130036,河北通菱汽车销售服务有限公司保定分公司,C-00001026
华北,河北,A,9130037,河北通菱汽车销售服务有限公司张家口分公司,C-00001037
华北,河北,A,9130038,河北通菱汽车销售服务有限公司廊坊分公司,C-00001033
华北,河北,A,9130039,河北通菱汽车销售服务有限公司沧州分公司,C-00001027
华北,河北,A,9130040,河北通菱汽车销售服务有限公司秦皇岛分公司,C-00001034
